pixel,flux_adu
0.000000000000000000e+00,1.034718287597215976e+03
1.000000000000000000e+00,1.034718287597215976e+03
2.000000000000000000e+00,8.525586759125823164e+02
3.000000000000000000e+00,9.573556049767308878e+02
4.000000000000000000e+00,1.690598786654876903e+03
5.000000000000000000e+00,1.774027993672886851e+03
6.000000000000000000e+00,1.182501075530899698e+03
7.000000000000000000e+00,1.298560274657741274e+03
8.000000000000000000e+00,1.862006630600723156e+03
9.000000000000000000e+00,2.076270767283796886e+03
1.000000000000000000e+01,2.080740058534250693e+03
1.100000000000000000e+01,2.156051267269989694e+03
1.200000000000000000e+01,2.144004521693691913e+03
1.300000000000000000e+01,1.849054811545242046e+03
1.400000000000000000e+01,1.860521735050000871e+03
1.500000000000000000e+01,1.600840803390545034e+03
1.600000000000000000e+01,1.322672044047031932e+03
1.700000000000000000e+01,1.019476865449418938e+03
1.800000000000000000e+01,1.127967741551859035e+03
1.900000000000000000e+01,1.585876085722745529e+03
2.000000000000000000e+01,1.761586132438551431e+03
2.100000000000000000e+01,2.007916943312148305e+03
2.200000000000000000e+01,2.132271982782126543e+03
2.300000000000000000e+01,2.056517683791085346e+03
2.400000000000000000e+01,1.494252314956894452e+03
2.500000000000000000e+01,1.325720366453012502e+03
2.600000000000000000e+01,1.568891302046071360e+03
2.700000000000000000e+01,1.400618878830579206e+03
2.800000000000000000e+01,1.331473147453184311e+03
2.900000000000000000e+01,1.516331708524004171e+03
3.000000000000000000e+01,1.588853899991528579e+03
3.100000000000000000e+01,1.703228202774946340e+03
3.200000000000000000e+01,1.828341095587641121e+03
3.300000000000000000e+01,1.177807572135528289e+03
3.400000000000000000e+01,1.094244382403653162e+03
3.500000000000000000e+01,1.215223987397886503e+03
3.600000000000000000e+01,1.592932920404562992e+03
3.700000000000000000e+01,1.520884914958935269e+03
3.800000000000000000e+01,1.174096185787976765e+03
3.900000000000000000e+01,1.377648756671539331e+03
4.000000000000000000e+01,1.651598008403892891e+03
4.100000000000000000e+01,1.813183234795293174e+03
4.200000000000000000e+01,1.799776562781483108e+03
4.300000000000000000e+01,1.871649141495390495e+03
4.400000000000000000e+01,1.810392787164405036e+03
4.500000000000000000e+01,1.428052046889621806e+03
4.600000000000000000e+01,1.707157782350576781e+03
4.700000000000000000e+01,1.985451667501400834e+03
4.800000000000000000e+01,1.791229770797927586e+03
4.900000000000000000e+01,1.479012255321759312e+03
5.000000000000000000e+01,1.618808212919321704e+03
5.100000000000000000e+01,1.551440627083592062e+03
5.200000000000000000e+01,1.287231476434102888e+03
5.300000000000000000e+01,1.184404065954762473e+03
5.400000000000000000e+01,1.224725622196954873e+03
5.500000000000000000e+01,1.474379142397671330e+03
5.600000000000000000e+01,1.892748780844639441e+03
5.700000000000000000e+01,1.642585182962344561e+03
5.800000000000000000e+01,9.807972241062958574e+02
5.900000000000000000e+01,1.385910326465208300e+03
6.000000000000000000e+01,1.431868868485639041e+03
6.100000000000000000e+01,1.218022802237114320e+03
6.200000000000000000e+01,1.163456125760091936e+03
6.300000000000000000e+01,1.728203016102651418e+03
6.400000000000000000e+01,1.251728349329061757e+03
6.500000000000000000e+01,1.124414967724627331e+03
6.600000000000000000e+01,1.079546198926156876e+03
6.700000000000000000e+01,1.734504057923292294e+03
6.800000000000000000e+01,1.874788617723404741e+03
6.900000000000000000e+01,1.142705883270891491e+03
7.000000000000000000e+01,9.398893236669728140e+02
7.100000000000000000e+01,1.014120241706962361e+03
7.200000000000000000e+01,1.595646071664371220e+03
7.300000000000000000e+01,1.952411915557903740e+03
7.400000000000000000e+01,1.675426821076566739e+03
7.500000000000000000e+01,1.152501544171568867e+03
7.600000000000000000e+01,1.264250478168377867e+03
7.700000000000000000e+01,1.440552097784270472e+03
7.800000000000000000e+01,1.310696751786534605e+03
7.900000000000000000e+01,1.335415388658839902e+03
8.000000000000000000e+01,1.375474387171044100e+03
8.100000000000000000e+01,2.336397551680785455e+03
8.200000000000000000e+01,2.219062270751995584e+03
8.300000000000000000e+01,2.002990523706031581e+03
8.400000000000000000e+01,1.926461518063772246e+03
8.500000000000000000e+01,1.760324443690852377e+03
8.600000000000000000e+01,1.690626948805854454e+03
8.700000000000000000e+01,1.427388969464091815e+03
8.800000000000000000e+01,1.868993765589340228e+03
8.900000000000000000e+01,1.549098235496922598e+03
9.000000000000000000e+01,1.395876206468694591e+03
9.100000000000000000e+01,1.646037886027346076e+03
9.200000000000000000e+01,2.041636219679058513e+03
9.300000000000000000e+01,1.990155114215907815e+03
9.400000000000000000e+01,1.690106176694891474e+03
9.500000000000000000e+01,1.772559087327996394e+03
9.600000000000000000e+01,1.770885479204017429e+03
9.700000000000000000e+01,1.986396152116798930e+03
9.800000000000000000e+01,1.677618901049505666e+03
9.900000000000000000e+01,1.788924649786886675e+03
1.000000000000000000e+02,1.857677288362384388e+03
1.010000000000000000e+02,2.093987329176163257e+03
1.020000000000000000e+02,2.148651502728481319e+03
1.030000000000000000e+02,1.868269432070332186e+03
1.040000000000000000e+02,1.946883838177604275e+03
1.050000000000000000e+02,1.932047873236937448e+03
1.060000000000000000e+02,2.197846272068818507e+03
1.070000000000000000e+02,2.052568120328111945e+03
1.080000000000000000e+02,2.414608941399932519e+03
1.090000000000000000e+02,1.997030377778245793e+03
1.100000000000000000e+02,2.313594364978744125e+03
1.110000000000000000e+02,2.575549961394595812e+03
1.120000000000000000e+02,2.793871801949166183e+03
1.130000000000000000e+02,2.316639568085303836e+03
1.140000000000000000e+02,2.117590428428164159e+03
1.150000000000000000e+02,1.883274762800336475e+03
1.160000000000000000e+02,1.905136342323927920e+03
1.170000000000000000e+02,1.976984894584795711e+03
1.180000000000000000e+02,2.284331640301459629e+03
1.190000000000000000e+02,2.027582507092051856e+03
1.200000000000000000e+02,1.806991618313346180e+03
1.210000000000000000e+02,1.887436847548151491e+03
1.220000000000000000e+02,1.715959418830306277e+03
1.230000000000000000e+02,1.877267431525270013e+03
1.240000000000000000e+02,1.660041590695507693e+03
1.250000000000000000e+02,1.755028308705525433e+03
1.260000000000000000e+02,1.850608461284283749e+03
1.270000000000000000e+02,2.626879801059349120e+03
1.280000000000000000e+02,2.559236298235564846e+03
1.290000000000000000e+02,2.235421839685046052e+03
1.300000000000000000e+02,2.034969111196871154e+03
1.310000000000000000e+02,2.545267604457417292e+03
1.320000000000000000e+02,2.633598337745953813e+03
1.330000000000000000e+02,2.608401711480245467e+03
1.340000000000000000e+02,2.670598932470256841e+03
1.350000000000000000e+02,2.641460254224316031e+03
1.360000000000000000e+02,2.562401229765408061e+03
1.370000000000000000e+02,2.944674443421341039e+03
1.380000000000000000e+02,2.950702623082750506e+03
1.390000000000000000e+02,2.491128497052135117e+03
1.400000000000000000e+02,2.244313032436479716e+03
1.410000000000000000e+02,2.595462038382685478e+03
1.420000000000000000e+02,2.790165682930015919e+03
1.430000000000000000e+02,2.660058347247189886e+03
1.440000000000000000e+02,3.142235244824953043e+03
1.450000000000000000e+02,2.738458936015666950e+03
1.460000000000000000e+02,2.124741005609334934e+03
1.470000000000000000e+02,1.883599259092612783e+03
1.480000000000000000e+02,2.020366746563660172e+03
1.490000000000000000e+02,1.891502130654444272e+03
1.500000000000000000e+02,1.873549893653867230e+03
1.510000000000000000e+02,1.935321028994644166e+03
1.520000000000000000e+02,2.023713072523525625e+03
1.530000000000000000e+02,2.006660985779891007e+03
1.540000000000000000e+02,1.832019512854395543e+03
1.550000000000000000e+02,1.726571036418550648e+03
1.560000000000000000e+02,1.947095241833630553e+03
1.570000000000000000e+02,1.267341252106351249e+03
1.580000000000000000e+02,1.444595833032462679e+03
1.590000000000000000e+02,1.883245208969186478e+03
1.600000000000000000e+02,1.865234901813428223e+03
1.610000000000000000e+02,1.569652963715277110e+03
1.620000000000000000e+02,1.677915296032547303e+03
1.630000000000000000e+02,2.114126133559741902e+03
1.640000000000000000e+02,2.557578337229237604e+03
1.650000000000000000e+02,2.654387866104169007e+03
1.660000000000000000e+02,2.056389279233315847e+03
1.670000000000000000e+02,1.842696490914927381e+03
1.680000000000000000e+02,1.517858396132205598e+03
1.690000000000000000e+02,2.004711157550294502e+03
1.700000000000000000e+02,2.605464249980901059e+03
1.710000000000000000e+02,2.670007013234330316e+03
1.720000000000000000e+02,2.523258159870721556e+03
1.730000000000000000e+02,2.736796298584213673e+03
1.740000000000000000e+02,3.277225282929613513e+03
1.750000000000000000e+02,3.031992079242623731e+03
1.760000000000000000e+02,3.370587033217417229e+03
1.770000000000000000e+02,3.419774277397796141e+03
1.780000000000000000e+02,3.179983369771628531e+03
1.790000000000000000e+02,2.846056891719087616e+03
1.800000000000000000e+02,2.832870882520635860e+03
1.810000000000000000e+02,2.956133846773213008e+03
1.820000000000000000e+02,3.176425003037520582e+03
1.830000000000000000e+02,3.019536029264931585e+03
1.840000000000000000e+02,2.998541895987958469e+03
1.850000000000000000e+02,2.985545709598010490e+03
1.860000000000000000e+02,3.025933672388985087e+03
1.870000000000000000e+02,2.654816468931507643e+03
1.880000000000000000e+02,2.583705451777950202e+03
1.890000000000000000e+02,2.740363682480218813e+03
1.900000000000000000e+02,2.555410072567940915e+03
1.910000000000000000e+02,1.778918071930947690e+03
1.920000000000000000e+02,1.823470440045900887e+03
1.930000000000000000e+02,1.923601101339528213e+03
1.940000000000000000e+02,2.384689390630401249e+03
1.950000000000000000e+02,2.025376622685105303e+03
1.960000000000000000e+02,2.356759115374012254e+03
1.970000000000000000e+02,2.415599774623888607e+03
1.980000000000000000e+02,2.759017223703132458e+03
1.990000000000000000e+02,3.297036919694170138e+03
2.000000000000000000e+02,2.975062212588680268e+03
2.010000000000000000e+02,2.543357570689610384e+03
2.020000000000000000e+02,2.743737214428404059e+03
2.030000000000000000e+02,2.799253855332413877e+03
2.040000000000000000e+02,3.286240495670765085e+03
2.050000000000000000e+02,3.481699198214603257e+03
2.060000000000000000e+02,3.323611563181013935e+03
2.070000000000000000e+02,2.812792978094210866e+03
2.080000000000000000e+02,2.445133792865286523e+03
2.090000000000000000e+02,2.300336620831023538e+03
2.100000000000000000e+02,2.726340280441276718e+03
2.110000000000000000e+02,3.015877726634301325e+03
2.120000000000000000e+02,2.876878254039038893e+03
