pixel,flux_adu
0.000000000000000000e+00,4.384999999999986358e+02
1.000000000000000000e+00,4.384999999999986358e+02
2.000000000000000000e+00,4.465000000000004547e+02
3.000000000000000000e+00,5.335000000000011369e+02
4.000000000000000000e+00,4.614999999999997726e+02
5.000000000000000000e+00,4.615000000000015916e+02
6.000000000000000000e+00,6.000000000000009095e+02
7.000000000000000000e+00,5.359999999999993179e+02
8.000000000000000000e+00,5.375000000000002274e+02
9.000000000000000000e+00,4.965000000000002274e+02
1.000000000000000000e+01,4.774999999999984084e+02
1.100000000000000000e+01,4.080000000000000000e+02
1.200000000000000000e+01,4.299999999999990905e+02
1.300000000000000000e+01,4.075000000000006821e+02
1.400000000000000000e+01,4.824999999999997726e+02
1.500000000000000000e+01,6.025000000000004547e+02
1.600000000000000000e+01,5.089999999999995453e+02
1.700000000000000000e+01,3.799999999999990905e+02
1.800000000000000000e+01,4.970000000000009663e+02
1.900000000000000000e+01,5.455000000000015916e+02
2.000000000000000000e+01,5.389999999999990905e+02
2.100000000000000000e+01,4.605000000000011369e+02
2.200000000000000000e+01,4.285000000000009095e+02
2.300000000000000000e+01,4.864999999999988631e+02
2.400000000000000000e+01,5.545000000000011369e+02
2.500000000000000000e+01,5.345000000000015916e+02
2.600000000000000000e+01,6.199999999999984084e+02
2.700000000000000000e+01,6.530000000000006821e+02
2.800000000000000000e+01,6.405000000000002274e+02
2.900000000000000000e+01,6.760000000000006821e+02
3.000000000000000000e+01,5.389999999999988631e+02
3.100000000000000000e+01,4.669999999999990905e+02
3.200000000000000000e+01,4.504999999999995453e+02
3.300000000000000000e+01,4.720000000000006821e+02
3.400000000000000000e+01,4.729999999999993179e+02
3.500000000000000000e+01,5.264999999999995453e+02
3.600000000000000000e+01,5.175000000000009095e+02
3.700000000000000000e+01,5.784999999999984084e+02
3.800000000000000000e+01,6.000000000000000000e+02
3.900000000000000000e+01,6.850000000000002274e+02
4.000000000000000000e+01,5.610000000000006821e+02
4.100000000000000000e+01,4.930000000000008527e+02
4.200000000000000000e+01,5.620000000000013642e+02
4.300000000000000000e+01,5.184999999999988631e+02
4.400000000000000000e+01,5.849999999999995453e+02
4.500000000000000000e+01,5.625000000000000000e+02
4.600000000000000000e+01,4.965000000000015916e+02
4.700000000000000000e+01,4.644999999999988631e+02
4.800000000000000000e+01,5.415000000000002274e+02
4.900000000000000000e+01,5.414999999999995453e+02
5.000000000000000000e+01,4.764999999999986358e+02
5.100000000000000000e+01,5.659999999999984084e+02
5.200000000000000000e+01,6.335000000000004547e+02
5.300000000000000000e+01,6.374999999999986358e+02
5.400000000000000000e+01,6.025000000000006821e+02
5.500000000000000000e+01,6.309999999999990905e+02
5.600000000000000000e+01,6.954999999999986358e+02
5.700000000000000000e+01,7.144999999999984084e+02
5.800000000000000000e+01,7.355000000000009095e+02
5.900000000000000000e+01,6.335000000000006821e+02
6.000000000000000000e+01,5.080000000000011937e+02
6.100000000000000000e+01,4.985000000000006821e+02
6.200000000000000000e+01,4.489999999999990905e+02
6.300000000000000000e+01,5.730000000000015916e+02
6.400000000000000000e+01,6.584999999999986358e+02
6.500000000000000000e+01,7.509999999999997726e+02
6.600000000000000000e+01,7.010000000000015916e+02
6.700000000000000000e+01,6.240000000000009095e+02
6.800000000000000000e+01,6.189999999999986358e+02
6.900000000000000000e+01,5.665000000000013642e+02
7.000000000000000000e+01,7.285000000000004547e+02
7.100000000000000000e+01,7.825000000000006821e+02
7.200000000000000000e+01,7.300000000000009095e+02
7.300000000000000000e+01,6.600000000000004547e+02
7.400000000000000000e+01,5.909999999999988631e+02
7.500000000000000000e+01,5.655000000000006821e+02
7.600000000000000000e+01,4.590000000000000000e+02
7.700000000000000000e+01,5.559999999999990905e+02
7.800000000000000000e+01,5.930000000000009095e+02
7.900000000000000000e+01,6.844999999999990905e+02
8.000000000000000000e+01,6.620000000000006821e+02
8.100000000000000000e+01,5.334999999999995453e+02
8.200000000000000000e+01,6.339999999999986358e+02
8.300000000000000000e+01,8.044999999999990905e+02
8.400000000000000000e+01,8.865000000000011369e+02
8.500000000000000000e+01,8.134999999999988631e+02
8.600000000000000000e+01,5.404999999999993179e+02
8.700000000000000000e+01,5.345000000000015916e+02
8.800000000000000000e+01,6.184999999999986358e+02
8.900000000000000000e+01,5.389999999999988631e+02
9.000000000000000000e+01,5.489999999999986358e+02
9.100000000000000000e+01,6.004999999999986358e+02
9.200000000000000000e+01,6.415000000000015916e+02
9.300000000000000000e+01,6.899999999999990905e+02
9.400000000000000000e+01,8.429999999999984084e+02
9.500000000000000000e+01,8.949999999999997726e+02
9.600000000000000000e+01,8.795000000000011369e+02
9.700000000000000000e+01,7.404999999999997726e+02
9.800000000000000000e+01,8.565000000000002274e+02
9.900000000000000000e+01,9.335000000000009095e+02
1.000000000000000000e+02,8.585000000000002274e+02
1.010000000000000000e+02,7.284999999999993179e+02
1.020000000000000000e+02,6.989999999999995453e+02
1.030000000000000000e+02,8.595000000000013642e+02
1.040000000000000000e+02,8.654999999999988631e+02
1.050000000000000000e+02,9.519999999999986358e+02
1.060000000000000000e+02,1.018000000000001592e+03
1.070000000000000000e+02,8.845000000000011369e+02
1.080000000000000000e+02,7.725000000000015916e+02
1.090000000000000000e+02,9.485000000000015916e+02
1.100000000000000000e+02,8.035000000000009095e+02
1.110000000000000000e+02,7.268965517241372254e+02
1.120000000000000000e+02,9.575000000000009095e+02
1.130000000000000000e+02,1.183000000000001592e+03
1.140000000000000000e+02,1.029999999999998408e+03
1.150000000000000000e+02,8.884999999999988631e+02
1.160000000000000000e+02,9.254999999999988631e+02
1.170000000000000000e+02,8.905000000000013642e+02
1.180000000000000000e+02,8.585000000000006821e+02
1.190000000000000000e+02,9.105000000000000000e+02
1.200000000000000000e+02,9.054999999999993179e+02
1.210000000000000000e+02,7.530000000000002274e+02
1.220000000000000000e+02,7.619999999999997726e+02
1.230000000000000000e+02,8.180000000000000000e+02
1.240000000000000000e+02,8.490000000000009095e+02
1.250000000000000000e+02,8.285000000000015916e+02
1.260000000000000000e+02,7.640000000000002274e+02
1.270000000000000000e+02,6.190000000000002274e+02
1.280000000000000000e+02,6.719999999999990905e+02
1.290000000000000000e+02,8.235000000000002274e+02
1.300000000000000000e+02,8.740000000000002274e+02
1.310000000000000000e+02,8.324999999999997726e+02
1.320000000000000000e+02,7.474999999999984084e+02
1.330000000000000000e+02,7.519999999999995453e+02
1.340000000000000000e+02,7.525000000000004547e+02
1.350000000000000000e+02,7.804999999999984084e+02
1.360000000000000000e+02,9.304999999999997726e+02
1.370000000000000000e+02,9.094999999999988631e+02
1.380000000000000000e+02,9.204999999999986358e+02
1.390000000000000000e+02,1.138000000000001137e+03
1.400000000000000000e+02,1.226499999999999545e+03
1.410000000000000000e+02,1.260999999999998408e+03
1.420000000000000000e+02,1.403999999999998408e+03
1.430000000000000000e+02,1.409500000000001137e+03
1.440000000000000000e+02,1.396000000000001592e+03
1.450000000000000000e+02,1.372000000000000000e+03
1.460000000000000000e+02,1.386499999999999545e+03
1.470000000000000000e+02,1.254999999999998408e+03
1.480000000000000000e+02,1.193999999999999091e+03
1.490000000000000000e+02,1.175000000000001592e+03
1.500000000000000000e+02,8.844999999999993179e+02
1.510000000000000000e+02,7.610000000000013642e+02
1.520000000000000000e+02,8.230000000000002274e+02
1.530000000000000000e+02,8.295000000000011369e+02
1.540000000000000000e+02,7.235000000000006821e+02
1.550000000000000000e+02,7.320000000000006821e+02
1.560000000000000000e+02,6.464999999999988631e+02
1.570000000000000000e+02,7.710000000000002274e+02
1.580000000000000000e+02,7.575000000000002274e+02
1.590000000000000000e+02,7.545000000000009095e+02
1.600000000000000000e+02,6.675000000000015916e+02
1.610000000000000000e+02,7.089999999999997726e+02
1.620000000000000000e+02,7.570000000000000000e+02
1.630000000000000000e+02,8.110000000000000000e+02
1.640000000000000000e+02,7.905172413793104624e+02
1.650000000000000000e+02,7.844999999999990905e+02
1.660000000000000000e+02,9.139999999999988631e+02
1.670000000000000000e+02,8.434999999999995453e+02
1.680000000000000000e+02,9.889999999999989768e+02
1.690000000000000000e+02,9.739999999999996589e+02
1.700000000000000000e+02,8.344999999999984084e+02
1.710000000000000000e+02,8.999999999999988631e+02
1.720000000000000000e+02,9.154999999999988631e+02
1.730000000000000000e+02,9.039999999999984084e+02
1.740000000000000000e+02,9.280000000000009095e+02
1.750000000000000000e+02,9.380000000000009095e+02
1.760000000000000000e+02,9.645000000000017053e+02
1.770000000000000000e+02,1.134000000000001364e+03
1.780000000000000000e+02,1.434000000000001592e+03
1.790000000000000000e+02,1.515499999999999091e+03
1.800000000000000000e+02,1.562499999999999091e+03
1.810000000000000000e+02,1.472500000000001364e+03
1.820000000000000000e+02,1.537500000000001592e+03
1.830000000000000000e+02,1.438499999999999773e+03
1.840000000000000000e+02,1.313499999999999545e+03
1.850000000000000000e+02,1.416999999999999091e+03
1.860000000000000000e+02,1.286500000000001364e+03
1.870000000000000000e+02,1.116000000000000227e+03
1.880000000000000000e+02,1.033000000000000227e+03
1.890000000000000000e+02,8.929999999999986358e+02
